id,name,icon
0,地图传送,assets/generated/navigation/nav-0.png
1,PK竞技场,assets/generated/navigation/nav-1.png
2,幻境,assets/generated/navigation/nav-2.png
3,BOSS之家,assets/generated/navigation/nav-3.png
4,押镖,assets/generated/navigation/nav-4.png
5,行会,assets/generated/navigation/nav-5.png
6,沙巴克,assets/generated/navigation/nav-6.png
7,城池争夺,assets/generated/navigation/nav-7.png
8,传说塔,assets/generated/navigation/nav-8.png
9,排行榜,assets/generated/navigation/nav-9.png
10,五行修炼,assets/generated/navigation/nav-10.png
11,师徒,assets/generated/navigation/nav-11.png
12,秘境,assets/generated/navigation/nav-12.png
13,世界BOSS,assets/generated/navigation/nav-13.png
14,祭坛,assets/generated/navigation/nav-14.png
15,寻宝,assets/generated/navigation/nav-15.png
16,将星图谱,assets/generated/navigation/nav-16.png
17,回收系统,assets/generated/navigation/nav-17.png
18,发红包,assets/generated/navigation/nav-18.png
19,至尊极品殿堂,assets/generated/navigation/nav-19.png
20,背包,assets/generated/navigation/nav-20.png
21,铁匠铺,assets/generated/navigation/nav-21.png
22,交易市场,assets/generated/navigation/nav-22.png
23,图鉴,assets/generated/navigation/nav-23.png
24,爵位,assets/generated/navigation/nav-24.png
25,称谓,assets/generated/navigation/nav-25.png
26,成就,assets/generated/navigation/nav-26.png
27,商店,assets/generated/navigation/nav-27.png
28,帮助,assets/generated/navigation/nav-28.png
29,邮箱,assets/generated/navigation/nav-29.png
30,设置,assets/generated/navigation/nav-30.png
